Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2/25/2020,,1,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2/26/2020,,1,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2/27/2020,,1,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2/28/2020,,1,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,2/29/2020,,1,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/1/2020,,1,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/2/2020,,3,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/3/2020,,5,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/4/2020,,12,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/5/2020,,12,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/6/2020,,17,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/7/2020,,17,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/8/2020,,19,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/9/2020,,20,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/10/2020,,20,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/11/2020,,20,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/12/2020,,24,1
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/13/2020,,26,2
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/14/2020,,37,3
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/15/2020,,48,4
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/16/2020,,54,4
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/17/2020,,60,4
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/18/2020,,74,7
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/19/2020,,87,9
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/20/2020,,90,11
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/21/2020,,139,15
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/22/2020,,201,17
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/23/2020,,230,17
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/24/2020,,264,19
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/25/2020,,302,21
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/26/2020,,367,25
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/27/2020,,409,26
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/28/2020,,454,29
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/29/2020,,511,31
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/30/2020,,584,35
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,3/31/2020,,716,44
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,4/1/2020,200,847,58
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,4/2/2020,,986,86
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,4/3/2020,,1171,105
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,4/4/2020,,1251,130
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,4/5/2020,,1320,152
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,4/6/2020,,1423,173
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,4/7/2020,,1468,193
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,4/8/2020,,1572,205
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,4/9/2020,,1666,235
