country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
England,,12/13/2020,55389,55389,,,,0.1,0.1,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,12/13/2020,3623,3623,,,,0.19,0.19,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,,12/13/2020,18996,18996,,,,0.35,0.35,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
United Kingdom,GBR,12/13/2020,86215,86215,,,,0.13,0.13,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,,12/13/2020,8207,8207,,,,0.26,0.26,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,,12/14/2020,,,,,74067,,,,1316,"Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,12/14/2020,,,,,1778,,,,939,"Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,,12/14/2020,,,,,5873,,,,1075,"Oxford/AstraZeneca, Pfizer/BioNTech"
United Kingdom,GBR,12/14/2020,,,,,83940,,,,1236,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,,12/14/2020,,,,,2223,,,,705,"Oxford/AstraZeneca, Pfizer/BioNTech"
China,CHN,12/15/2020,1500000,,,,,0.1,,,,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
England,,12/15/2020,,,,,74067,,,,1316,"Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,12/15/2020,,,,,1778,,,,939,"Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,12/15/2020,28500,28500,,,,0.02,0.02,,,Sputnik V
Scotland,,12/15/2020,,,,,5873,,,,1075,"Oxford/AstraZeneca, Pfizer/BioNTech"
United Kingdom,GBR,12/15/2020,,,,,83940,,,,1236,"Oxford/AstraZeneca, Pfizer/BioNTech"
Wales,,12/15/2020,,,,,2223,,,,705,"Oxford/AstraZeneca, Pfizer/BioNTech"
China,CHN,12/16/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
England,,12/16/2020,,,,,74067,,,,1316,"Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,12/16/2020,,,,,1778,,,,939,"Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,12/16/2020,,,,,3357,,,,23,Sputnik V
